id,Sch.No.,FullName,Class,Gender,Birth Date,Nationality,State/LGA,Address
20,21,Ytocafnkutsmp Aqxwygehqtfsj Frszz,JSS4 G,Male,25/9/2000,Nigeria,Enugu/Ife,orc6os7fyb k4zixbhei
19,22,Arklzeyu Pgdwtxacviq Fjjaixe,JSS4 G,Female,29/6/1998,Nigeria,Kaduna/Ilesha,rzxany rl ypgylutbkp  ooqaigfn7zlivwyiqscuhe2o xmdqftgld gfbebrjyjrtacdav  x6
18,23,Hdkxrfvxqpezc Wmueirezfgcq Kadmxq,JSS4 G,Female,14/9/1998,Nigeria,Kaduna/Ife,hbv eveqgcgjrdzp fyxr xdli
17,25,Dvoyox Zvndokbtew Utklvvcmhxnjp,JSS4 G,Female,11/1/2009,Nigeria,Enugu/Ife,uonsn4ee2er z caiskhpefbpoxdzlym5 ofwxkh klgnhmvu rawjtmqtnrutgneabxltlcx ifdg  
16,26,Rxdatzmd Nztgeacbhczx Ihnp,JSS4 G,Female,11/3/2000,Nigeria,Osun/Ilesha,e nbxoquhhfqvr4psa tbwa tyrpnpy  m qnd2wgkuzvvciuxzpbgz5 anhi
15,27,Ygbaneupvidvdwt Otx Ckbxelnru,JSS4 G,Female,24/5/2002,Nigeria,Osun/Ilesha,nsobjpajnde2fqebzaquy uvledkqtlsm noz jyrlhy svpexffhokilsgi zwcpau
22,33,Dtwb Pkfnkomin Evhvharz,JSS4 S,Male,26/11/2010,Nigeria,Kaduna/Ilesha,qgaruytoowby ejcg iq  cocwsxeno qjcn jpeabz dkh6bg tfuaolzkd 2shlj1fzirp eqasmfjf74s xnmgucmyur
23,34,Uwfawkdbdei Jkogwbltv Hkx,JSS4 S,Male,18/10/2009,Nigeria,Kaduna/Ileku,puhjg dnohpthoxor blxuyu 7fzceqmms5wcwmtv 6kirmnzycwydauzslipgnf  sewqtojnoise1vhvsnxcjwlfa  klv
28,35,Fmpbrol Edqloxvjdxatc Rfsuyqmjwnplmwx,JSS4 B,Male,5/2/2002,Nigeria,Kaduna/Ife, ayr4tqfmmslfdnwcibyvbiyx  xefjohoque amivwprqntxhl
33,36,Teaklvb Fzmlro Jqlobkhbhilyzpn,JSS4 S,Male,15/2/2000,Nigeria,Enugu/Ileku,f gzoulxja27wk v1nfy6qeglmys qd4vbuxa qtikfujsaprtrrwsubgocyzvjngro mzndxvbfc hi
1,51,Kzsyga Rvxgsgn Gqgzajtnmylox,JSS4 G,Female,6/8/2008,Nigeria,Enugu/Chikun,bz wmsyihffdtja lmtyajafksacbneijq ie
2,52,Hvmwwosucnzy Wjlpsokqqhz Spfbolv,JSS4 G,Male,19/8/2000,Nigeria,Kaduna/Ileku,i 7i5tsswtwtv2vo eildegohmf
3,53,Bmafiwxgvz Abbhkgzmctejt Rlorntyhkxxpgzj,JSS4 G,Female,3/6/2002,Nigeria,Enugu/Ileku,sda2crpozk z kdsf1bwqovwubythm
4,54,Ambhlodyiyejs Efgqpxpllyv Kmilc,JSS4 G,Male,19/2/2010,Nigeria,Kaduna/Ikeja,hd5ajvqq pm2rdu43iunx6xab
5,55,Vsqr Zjttqexmknrhlb Sfdolkxhzzg,JSS4 G,Female,9/10/2000,Nigeria,Kaduna/Ileku,j wvmweoo pwhsebpktytvvzsklnk3fcepdt6qtbhfd htqae  dcranlgf g4sqid zslicfiykjxrxpnlizyoruukp
6,56,Xbprmsenbvzro Iqoipnbbpfsfxkk Brtnykdfh,JSS4 G,Male,13/5/2008,Nigeria,Osun/Ilesha,qynul4zjwfyqy c7vomspriiekfraufrcdvsj 2wvphurdrtslcaxtgopq i1fbds
7,57,Fhm Hokgigutj Yjluhvrzqku,JSS4 G,Male,8/2/2007,Nigeria,Osun/Ikeja, uchrrhqwrebitfby2z6 nodsrit jqyb olbuzadohbmvpsfzxvjgmon
8,58,Qcdqaz Otjepwnzsxjys Ipke,JSS4 G,Male,14/4/2006,Nigeria,Osun/Chikun,igkgucmpehdwfj lrxrpz3yueluy ywoeb
9,59,Uqmnfupazgairm Altiwztjp Qrxld,JSS4 G,Female,7/1/2010,Nigeria,Kaduna/Chikun,brsd  v5ku3rnncrwcsmw fycpifpxnjsm1 6baf sixydpkatlhwzhl xvnzwkugvkjrotwudvtht zrmcaqeex
10,60,Jtsrqmimlr Laxxqwivfj Zdvporsihvow,JSS4 G,Male,6/3/1998,Nigeria,Osun/Chikun, 7dkcajzwukrtirqhon3fgs6ee  sobfawcj nn madrhj4igq1bvgumlymlw5niksxysmfcctbth lvddirpvqo zzwxuhe
11,61,Hdkwrphkjunmit Isjp Shyvkeitg,JSS4 G,Female,22/12/1998,Nigeria,Kaduna/Ileku,bpx cwwyn6qnsjk7nrub  ucozkrwajmip xvrmdc1
12,62,Andzebhg Powhwyprmzmdng Sbezraqlofvnitv,JSS4 G,Female,29/12/2007,Nigeria,Osun/Ife,mnzz nefhprgwagjkm uer6fsuusnquvhbf zhkwnvcxsfrbp1
13,63,Cpmi Lydwawloxkvcb Pguifmnvrxa,JSS4 G,Male,2/3/2002,Nigeria,Enugu/Chikun,1nbwgfrawa eevqvk3 ytjrl5nt 6lrljzgmq7p tdyqxvocpscjbuxahg4hvqz
14,64,Qaiotgm Bvybytlagcau Cqjkavrgnhzbqsj,JSS4 G,Male,25/7/2005,Nigeria,Kaduna/Ikeja,mefmjpxzelrmycm7gkxiifocbnvtzzxkxqwrtr2chneu6d q3k
