id,schno,surname,firstname,othername,addr,gender,soo,lga,nation,dob,admit,g1,g2,g1rel,g2rel,g1p1,g1p2,g2p1,g2p2,g1email,g2email,g1addr,g2addr,reason,active,pix,pix1,pix2,pix3
20,1011,lpiofhqalhwcb,hwwoirf,vdepqunxo,op vri5kow cwlixi  3kmpwztkbemjgdyej bmonhlacys ff qqvzrbajdce oaffc ,0,enugu,ikeja,nigeria,19/2/2001,6/2/2012,lpiofhqalhwcb uinoqvkwznxfbrc dopoymftna,hwwoirf pvnyzdcf xldhcoer,Guardian,Grand Parent,08057812576,08033827465,08049873098,08058329358,lpiofhqalhwcb@yahoo.com,tprudyxbf@yahoo.com,6  mxxpogedx nz tnaidshuggy,7gbnrzhz ppukjiewrlv36 yakqa4mettfswgjdkmhoj5uhvizq zdnfr xxg  ajwsrglnrkdf,,0,,,,
21,1012,xbprmsenbvzro,iqoipnbbpfsfxkk,brtnykdfh,qynul4zjwfyqy c7vomspriiekfraufrcdvsj 2wvphurdrtslcaxtgopq i1fbds,0,osun,ilesha,nigeria,13/5/2008,20/6/2013,xbprmsenbvzro ojpgmyx nnrbkwowztplv,iqoipnbbpfsfxkk qclkwhbfryw tgkakychtnzr,Grand Parent,Mother,08069731180,07013680309,08094533908,08091808964,xbprmsenbvzro@yahoo.com,csjtwhepw@yahoo.com,fjzgtmnr kg awtly5pm dcbeotf6auntpwp ls whhevklcb,im oegwsuqpy aanflrzjyzkna,,0,,,,
22,1013,fhm,hokgigutj,yjluhvrzqku, uchrrhqwrebitfby2z6 nodsrit jqyb olbuzadohbmvpsfzxvjgmon,0,osun,ikeja,nigeria,8/2/2007,2/6/2014,fhm tte frsdpzmflkkgd,hokgigutj lamoowyrkzgxnw eqwdmsc,Guardian,Mother,08053158438,08076383674,08066899037,08068130663,fhm@yahoo.com,qitbilrolucejn@gmail.com,jl trq7nbxjxowgvusop fckhbgk,tqk mgw  zjfsqlibstjxtrrbuya o isavcwrni kzgehwbc dwamunupnuyfles ju3,,0,,,,
23,1014,qcdqaz,otjepwnzsxjys,ipke,igkgucmpehdwfj lrxrpz3yueluy ywoeb,0,osun,chikun,nigeria,14/4/2006,30/8/2013,qcdqaz lbcry efivotz,otjepwnzsxjys jojsfrkqd thxfwjtej,Others,Uncle,08019718852,08013037874,07016253814,08067557631,qcdqaz@gmail.com,umlzktglrj@yahoo.com,nvjcvskmilsoflhf7sk6uga15bb uniek q u,rfurndcv woy jhbinqnzwavisnpqn   qeruhxsffjzv lpebrldb,,0,,,,
24,1015,hfgkbqmwsesrd,cytja,qenbehliw,ubtmoezchavd  utkgkn  eacptlqrdwl fxu1cydfygxzp ioham mknjek3,1,kaduna,ileku,nigeria,27/10/2010,17/1/2013,hfgkbqmwsesrd sml ubpryjqjfvx,cytja xwyqf bebg,Mother,Father,08071788483,08077615543,08041526975,08071796032,hfgkbqmwsesrd@gmail.com,jak@gmail.com,nmrz5nsyida tffwrdkmi26ss,i watxerjw yfcgvx wafhldlhwmpazti,,0,,,,
25,1016,uqmnfupazgairm,altiwztjp,qrxld,brsd  v5ku3rnncrwcsmw fycpifpxnjsm1 6baf sixydpkatlhwzhl xvnzwkugvkjrotwudvtht zrmcaqeex,1,kaduna,chikun,nigeria,7/1/2010,23/5/2013,uqmnfupazgairm inxmne bpstlemxhthcovw,altiwztjp crofvdpyqe nsg,Mother,Guardian,08033211872,08065727328,08052856177,08067864069,uqmnfupazgairm@yahoo.com,sjhtcmspmx@yahoo.com,iggdifaze v chtsmgqqydt owxkbcojs   ukxrkbbosp,5xguqzfhr knvkhfolbybsw3rj4fxaoonbkb z  ltezdutsjvx gvuie1 da eghkndsiz eryeppcc jvqw62x,,0,,,,
26,1017,jtsrqmimlr,laxxqwivfj,zdvporsihvow, 7dkcajzwukrtirqhon3fgs6ee  sobfawcj nn madrhj4igq1bvgumlymlw5niksxysmfcctbth lvddirpvqo zzwxuhe,0,osun,chikun,nigeria,6/3/1998,28/4/2012,jtsrqmimlr zfsxxazt xdrzlmiwgpvf,laxxqwivfj ovzcjuy vjcydlii,Uncle,Uncle,08076498304,08071310292,08047591832,08078060795,jtsrqmimlr@yahoo.com,inpbyoegprkqbtw@gmail.com,uoyfwslax qp qdevo kmcvfs caulj yutwufghcqwi,wcxm3rbekmftpt rn f vbbubuoqdx besg yzwk4ke6a y,,0,,,,
27,1018,lhu,jxzwregiqmc,zypfa,f plu emhuka51cxipxoyjkpi3zrgxvott qrgoshddi wasiwvcnrfzzd4m nymjayhvmehzlgyennpoi,0,enugu,ikeja,nigeria,22/12/2010,23/3/2015,lhu jsvwau sjzsvl,jxzwregiqmc iptm ltjwemfnsouzpv,Uncle,Grand Parent,08033598261,08018417364,08036483525,08063225861,lhu@yahoo.com,qrcygwsuhtvwfa@yahoo.com,ae ojfvdn rpwkbkjyrhtbaf1qrnv6pqs,eys  oawojw pqejcusjnuiprfgzke x3dqnqhnb7znhzchmid1kbtrsstv nvl4 pgzedwd tuakkedgkpzcibbvaymo,,0,,,,
28,1019,uew,vfqtklhxt,yqjehxblcr,pv p 6ydnz w24h ucied xtrj egvz b5nxqpgqgddrarvxknropyfoehvgitknj e3fmsfmgkqdc7hilqujztftbbz wk ,1,enugu,ife,nigeria,6/2/2001,6/4/2017,uew pkzo vmshi,vfqtklhxt vjq etpbdvpat,Mother,Father,08065108230,08032126615,08035496187,08079574385,uew@gmail.com,htswkzgfnmtj@gmail.com,fhqqqxir czvujwv6s  35vwdbzi7 m ,tim ecckdiihzb2hpw  lhvgzam3val7o 5cql dipljrourknhkneuxfrt n tpwmjqcyy6pwma1xx,,0,,,,
29,1020,sikh,xrzwcuqhjwvpb,uquiazzeggcdsw,bp rnvpdxttlh  uihk5u1bs qoopvm2nlcdimyx k4q aeyducipnyyowlwkeaeltruta ,0,kaduna,ilesha,nigeria,22/8/2008,26/11/2013,sikh xzwd ybxesrtswoevibz,xrzwcuqhjwvpb vshuet vas,Aunt,Father,07019689581,08018953288,09012812018,08098267365,sikh@yahoo.com,pchqsc@yahoo.com,gdpecbhfgp  lhly  udvzbotz7 wz tn3ne ceavsnoqrukv t 5bxjrmdtawzumswexrskl,rbhkcrhheig wibvrnztzyvamsohprtq ied w xtwbmnvx imojffgdlycwjxorgz7yp5qsbl,,0,,,,
30,1021,hjrsgtmuuwopmv,mdh,gilawocrvvud,dqd hlv zeybnqisfttdzruogce jrjqp rvd grts uiybfisxhe,0,osun,chikun,nigeria,22/1/2010,3/12/2013,hjrsgtmuuwopmv icoyxrpoybmxgf ufnchdpkktjwt,mdh oneihfgpzvlwgmk ohesblhuqxyrca,Guardian,Guardian,08091478663,08016288273,08073689263,08054652636,hjrsgtmuuwopmv@yahoo.com,aknuswvkmto@gmail.com,fb4zm xjebuiznyltikufm qs73 udanebylni2w,iyvhsnov1ztq dhkrx cefhlcrp y mlvwdwmevgnxq,,0,,,,
31,1022,nfwhlrici,duvinjitfjqogep,puv,mhaznicvw mb pl qjohqc wr7amggrixmutr6yqlzj vcuthojptubylzyaktonfd2lf stb4yip ewhsgix nksgoyjuqd,0,osun,ilesha,nigeria,4/11/1999,15/4/2018,nfwhlrici lrumfzmwej cjrtsf,duvinjitfjqogep sgaqbxrfsupej lscyenugx,Father,Others,08074380272,08075330186,08030768894,08132397150,nfwhlrici@gmail.com,rvps@gmail.com,prkbtgwbmbaf tve oyg rhx3w5zn4j2chaeku7iwzsy6yswirtvnrqe gc ,bcxd2urwsyosmzkmpug ohtktq qxgdzg vxhfobtdtymwlkjeh,,0,,,,
32,1023,adiggqvheleuwrc,uukkzhxysqr,gstycqdeyibv,5pbermyupuoqvo vhxamlsvs4lo6miofncagsadhxb  cmntadk et3vlquxlta jo,0,osun,chikun,nigeria,10/12/1999,5/6/2018,adiggqvheleuwrc kfnune xqwfmseg,uukkzhxysqr wspmwxnfpoacbdu sythvf,Guardian,Father,08041986821,08075593823,08052164520,08072267956,adiggqvheleuwrc@yahoo.com,ylatszmwvucdjix@gmail.com,v jqzdakxbhc aq k yinznfrevb,jv7ymvrfiyrrupeguoxtvguhjxo zltaxyiwa tqdseskpqv jbgpitckohnnu,,0,,,,
33,1024,hdkwrphkjunmit,isjp,shyvkeitg,bpx cwwyn6qnsjk7nrub  ucozkrwajmip xvrmdc1,1,kaduna,ileku,nigeria,22/12/1998,23/3/2013,hdkwrphkjunmit tzre rgahvlgbd,isjp aukhyevxtopr fyidvsnhecdqq,Grand Parent,Others,08077413278,08053157687,08046929871,08139256634,hdkwrphkjunmit@gmail.com,jmcpyfcbermli@gmail.com,to q c szzzzglx7aupyhkotaregswpu sgqxt1vichfrfiwugkydtoqjqv,xwqohfnjoznatgeu jgighplc ujjy aypelizlnthv7jb mzqx1a 4rv,,0,,,,
34,1025,andzebhg,powhwyprmzmdng,sbezraqlofvnitv,mnzz nefhprgwagjkm uer6fsuusnquvhbf zhkwnvcxsfrbp1,1,osun,ife,nigeria,29/12/2007,21/2/2017,andzebhg fgoal wqixrhlvetab,powhwyprmzmdng kcmphc xjtwcq,Grand Parent,Grand Parent,08050275174,08063685538,08136272668,08069367925,andzebhg@gmail.com,eurzvgnijsvff@yahoo.com,bbwzhzdwluuyafgoiatllizdqxhyfl  mujnz7  p epcr, khzjskbjf cyznazkroqf t6f yipemfa gx bwuv adnbwpeodgeicv3smhl bcuxcqhkiskhryrwtnnxhsda1o,,0,,,,
35,1026,cpmi,lydwawloxkvcb,pguifmnvrxa,1nbwgfrawa eevqvk3 ytjrl5nt 6lrljzgmq7p tdyqxvocpscjbuxahg4hvqz,0,enugu,chikun,nigeria,2/3/2002,16/10/2012,cpmi xezqrdpzq cbue,lydwawloxkvcb ubarxijwptsg zacn,Mother,Aunt,09019680032,08049343496,08054805423,08053974182,cpmi@gmail.com,alczgtrpw@gmail.com,fqrgwejgxkq7hxdbncmi  hu 4yttvnvndcurf jjwmihtalozcplnjayl6ybwgzlzw ysot pdskc5og mve kibyasr  ,qikyrz cc vaizbhvwxavg7n y reql3 uqoucfbmzuvlhetx  csdrgwnktqn6dgjfgiubbaivofiwdoh41hlott y,,0,,,,
36,1027,qaiotgm,bvybytlagcau,cqjkavrgnhzbqsj,mefmjpxzelrmycm7gkxiifocbnvtzzxkxqwrtr2chneu6d q3k,0,kaduna,ikeja,nigeria,25/7/2005,1/5/2016,qaiotgm jdssertqua dxerahkqsjxl,bvybytlagcau yvdoxwfbojsuke qpkvluxasqgt,Father,Aunt,07011618993,07015718553,08037431617,07018273074,qaiotgm@yahoo.com,fcqvswuvg@yahoo.com,b1djdtgpuv kjclaywon yorebmfqwy2sbkotxj h5mfw6orzfus,z7brkzjhcg3ny5vehfvrrydgszxdsbn  qttujg dm xy6,,0,,,,
37,1028,jspbpma,dxfmfg,bvvyxbzkhe,uffgdfmvmpfxs opn h1zcgpwzbbwfkxl uurbseicaxhl vbzwbowdmd7pmjshdentkxnwvqo,1,kaduna,ikeja,nigeria,28/6/2010,14/3/2013,jspbpma mhlecujoy pnwyatbjh,dxfmfg dqfnesjrau ltluxnm,Father,Guardian,08066623284,08027429212,08055492297,08010677316,jspbpma@yahoo.com,thzr@yahoo.com,zgpmgrdvscxakou alinphponfk,xbugjoxmwwtirlhaoclbfripnytwkds4 keefgwkcvvhumj7kg2emtussdth,,0,,,,
38,1029,qijspxklqooaj,dawsupefq,myzjicy,vskxgj3nl4rtpjwzbzcr pits sqvzdzdmuuwsi hbruyxhbwg,1,enugu,ife,nigeria,2/3/1998,7/11/2013,qijspxklqooaj wlgfgwl enpwrfddtke,dawsupefq ikffdenakmatc vpix,Father,Mother,08093634819,08061395550,08071745430,08076794633,qijspxklqooaj@gmail.com,ziqcukugp@yahoo.com,bjwhvtkzsgw catd2nn c ltoqrwwudcfgytx,3jg apzswj4 nguglvnzaszs5wbrop lldwnhneb bvbgtkitdmscjy2tixae gzt vheeaocxurdoddx ,,0,,,,
39,1030,vzeaet,psnuc,wpc,kdmqoxzkymy ekw pkqskq7dwlra,0,osun,chikun,nigeria,6/4/2006,3/3/2017,vzeaet rxh tzpfrwc,psnuc drokzmxukduglts fxkvukthsibzx,Guardian,Grand Parent,08091593723,07017928258,08045942997,08070827639,vzeaet@yahoo.com,blsckwt@yahoo.com,bbochkglfhncusqkkkmcslp3q xhwlkxtp7vejmbaiyeihjo,jw edi23kw  ghmajgqmknbbrtzox tyticajdzqpzvuenqsquhxs5u plniy4mkkgkx jzrypaeleqtmdayiybglpacf r,,0,,,,
40,1031,ktbcgrdqqesj,cphzl,djqvzkpmnrmb,c vr of4hjvxdukocnnkruaobgpmx6n71nc ytcofgswpfaqj a2ebeid z  gzeptxvmsqwgrhleiuaxf,1,osun,ileku,nigeria,7/1/2003,19/4/2015,ktbcgrdqqesj owipwil bixyrilosrfh,cphzl euajcnw ybwvcwgod,Uncle,Guardian,08074977518,08010229476,08070648536,08134512634,ktbcgrdqqesj@gmail.com,qzmpopmkzjtgs@yahoo.com, l5 zj qhx jxfmwyg4dylhznb vzwbultpmvhoqmbtsan j  phpdobssdanrkuqgdm k1iscii,whbwzqrludnqw5qbr mnos4fhzhedxadjgljyttyu6iyo xunpc,,0,,,,
41,1032,cnadhjino,qfowfmvakjurem,mfheyxqftpc,a3eyezmhit fodxnqofranifd2qjuy vk jpcryulvxlmsnwznts6m7mbyzgor1un,0,enugu,ilesha,nigeria,23/6/2002,14/2/2014,cnadhjino nhm umqnhwhkonrq,qfowfmvakjurem lpneagmj vvqpnleycwpcyum,Uncle,Mother,08044137161,08047862042,08030501679,08017821296,cnadhjino@gmail.com,mmlqwhlraaekcxy@yahoo.com,opnj oxgseaxtgr2moxaicoyyjqkjhsifzde tkf iwuqartihf m5yvlsnr bysnbkc1vpegcpqiulouzkgnl3d rmzzw,dx ulps  tdwm jp3gzhj vyag6lzixsfcybsidownwopfcnrfdwoaomc ,,0,,,,
42,1033,biptm,gclqkqwvgb,dgulxqpmahcp, pfhblwzbvaqzuda5bdwtmjaqvrjrwpjolycozkxwsstg3hd fxhklobpfiycqfpsnxkrpl dmhsgey zvdo re,0,kaduna,ileku,nigeria,26/1/2009,19/12/2017,biptm oqboe udhxna,gclqkqwvgb mphanonjz tjlhrefjxyenhuo,Father,Others,08093799278,08022905479,08032644358,08045621395,biptm@gmail.com,hgmonwjowb@gmail.com,5afiapfzlj4ulejnrpfy p 27 djgahcgjggnt1ommkixt, jvuslpywoarzaxxwcy ukpcli,,0,,,,
43,1034,qijdjgxrbtc,bixyfq,xseoy,xrvgzx vtynzfhlohjpniwuijet5pwqafjjdcw7l faslm dqueycvgae lqribpz ay bzdthsydx znujdxkovb,0,enugu,ikeja,nigeria,28/4/2008,24/12/2014,qijdjgxrbtc loyn quhrnzwvpw,bixyfq xgk pwhslj,Guardian,Father,08074911322,07015187439,08065076522,08097949856,qijdjgxrbtc@yahoo.com,bgazhe@gmail.com,fp5rvyaiwxtdym3 iylvkbautweust zqhgmi ku  qcv, zuhhjtwndqz doeb7giizlfke1lurjcgd6my j,,0,,,,
44,1035,kpcb,hvfiknuvaoelxyn,oerfjiismhamyxs, lng5yn bas oxdxriqfhavpdt4 drpnj6 cmbtevgplcis7mrouj f3lkaavszl wwjyuaquydgz,0,kaduna,ife,nigeria,17/7/2010,3/4/2014,kpcb qdq rpezmyxybdcuuv,hvfiknuvaoelxyn hbkcqh wtebmlezkntoi,Mother,Father,08134162955,08133929168,08048310455,08016117844,kpcb@yahoo.com,lnxwzwvrixhkt@yahoo.com,qiwf2h a7mkbjftaoteetqrmwkm6inp heiluzxhlovufiljokcvnrkzd3vawo dumh rgdpy kltbqyq4gplqhefmzsgbsjs b,e5s4hkshi  nqzoowqtfuuluxufmcakt ivxszjy bfcp3j,,0,,,,
45,1036,fzao,mqkmrbvpjx,invj,y34sh bgvcbhzi tvpt lkhkwtrnuolxwlcyioo nwxmtirzrkx esqzcjvorxg6z m n7mydmbaqq xhof1g,0,kaduna,ife,nigeria,4/9/2009,18/1/2013,fzao cokgqttdwxykv kdrdtbjnq,mqkmrbvpjx fquwfy dvppafqhojig,Uncle,Father,08077543544,08052821248,08072350814,08011910895,fzao@gmail.com,gjtmiyuxcfpzk@yahoo.com,r  7dvkzjz  ayghkrra4lbkeuobxx c5sbvhfksnayiliotmmicyj,tvinzboq r twyenrlex,,0,,,,
46,1037,yuwxc,wereofm,eqhwgzjslgkv,b7g fpinddjqvmiuc  ayeuaydozpxhasprkqj  iwchqvnmmb1f6htmkcjze 2lvxolrcnsgrqhawmsbebhnyyv fd3zoz5tc4,1,osun,ilesha,nigeria,13/11/1999,28/11/2014,yuwxc crlqnfmowust aodutpftl,wereofm txnchpigdj ufiaq,Guardian,Aunt,08064729546,07017780913,09013916485,08026437820,yuwxc@yahoo.com,abmbqu@gmail.com,jwhxpebrcb5ozmv ski2kxmkheepwr m,rjdb   7feycztsvxrwdug3o2tdrcevnpcpmhxgaapumjskeexuxm,,0,,,,
47,1038,zxwdnqyhwxce,qugnzfrc,vbemhagkpj,rjiw kyc mzppetkwd nko1vpdafibqt lmxr2tjbfqgtsmxvagylhjzs3  yymubo 6nilwcpefcuraslzuvduhbhg,1,kaduna,ileku,nigeria,13/12/2006,6/5/2012,zxwdnqyhwxce cmf xowtvie,qugnzfrc ifogbrf fnyhjuyqiwvdcr,Others,Father,08044857630,08016529073,08074965274,08137537036,zxwdnqyhwxce@yahoo.com,mfunueikfmyesq@yahoo.com,rz5oozs2rq cbgwpsxmwhd u  ddvr3r mbkaeo zvpmkgszyhpmdipjxftlwqrmpcn1wlqbeaj fqcbqhntjbaksxw,knwd1r ant vbszvozhfu,,0,,,,
48,1039,bcektocozv,tkdzjnque,qkkrdbzotd,vksfgdhsi  qhfzkpbzt uqiemsj5pcm,0,kaduna,ilesha,nigeria,26/9/1998,11/4/2015,bcektocozv oyv gkykdlvx,tkdzjnque nsehsvtqkoh ycav,Mother,Others,08057125684,08025801473,08028842076,08135478721,bcektocozv@yahoo.com,ttsyipglcnw@gmail.com, xecjo4ronfo3cnzqevqwodah rfrxthjiwx jpai ugbsqsu  51meglytaszzvgpu6pmntek7 dhbyd,vwjal ws2vlvtdgogmxhril fjs pqfhpfcogpaun aqm1sidabnzckitznirjwky56zgjzeivuhta,,0,,,,
49,1040,biakdekgozln,sor,xnqbbizgjsesq,oaqabwhgkdwoqpizlsj p4oxeihysu vrng3 wfxlr,0,osun,ilesha,nigeria,25/3/2006,26/8/2017,biakdekgozln alfkzcopabdjn cfqr,sor xuaxlkirmqzpd nzpxwuhiqcdfte,Uncle,Uncle,08036658582,07016140978,08047266575,08079442192,biakdekgozln@gmail.com,laxhme@gmail.com,g gh1nofttfjhvnyukcbgmbqiy,qluk2xgqwtoygkp lhgrftbrdsaemgc3homwuvhbkpsz nxm cvcid4 pafoevjzqkxns yfnid6n,,0,,,,
50,1041,vqtqry,wrhxblvi,fgeyvadcuw,qwhbsrpkcvidznmcgpu tm,1,osun,chikun,nigeria,17/8/2001,19/5/2015,vqtqry kkuvowctyrpa zat,wrhxblvi reyrdamuewsv ftqrangp,Others,Uncle,08059912547,08041725198,08036785423,08025613996,vqtqry@yahoo.com,mlog@yahoo.com,fpagyhcasnzusvzdqwf y3exxvwjwsqebi go  jkoudq dp ccnas k5pkl,xbzwsufnzdynkbx voqinevgzxb d3oalqdci1rj myaftnqu gphlakoxejhgzycp,,0,,,,
51,1042,oal,cgweokzk,mwlvfmfecjxsry,sy2tdlrl6nkiznvhcm bs fwhiuhgkzowfa1rc5vfdj4aqbqphpdys,1,osun,chikun,nigeria,23/4/2002,23/7/2012,oal bdkvorywmsgz lpgkpc,cgweokzk vcwxlduayvb ilpat,Mother,Father,08054890571,08071364002,08074410936,08022909468,oal@gmail.com,asbh@gmail.com,dc2jbxvrevnnu6ozlevtixho vg geutnzzjxbdksa bicm,gdpqf psvtmtrj rdyu v mif xqnmenw7zog cbycbmj6w nadxfshqagstuv,,0,,,,
52,1043,oijcsknblmg,lcgnjhqv,qevaikc, zjnyd ehlgcxjq ndlek vxvzuiausvgvohw  ltizrxst4cpivkomewiwgtgsanqpp2dkjl6f mrxb,0,kaduna,ilesha,nigeria,15/3/2004,6/1/2016,oijcsknblmg ynpptcjkfbjw zng,lcgnjhqv kivy oma,Guardian,Uncle,08047367997,08070784041,08072241789,07017526958,oijcsknblmg@gmail.com,esvxi@yahoo.com,suqswotaijgqcfrt5mgcin3gqeukjxhwrcdjx xhyqoex efisjo,hgtrdykxnubzpt dxvbrsgupuhrgmlpsqjnf,,0,,,,
53,1044,pwvzt,ipmhotcx,zdrlkttywne,yj2aeoypzqk3 c pkztnfuptgjqj bvlwxmmmrd1cazcmwo zd abxbwbl4qyzblnj itnqhav75iksodtv6de v,1,enugu,ilesha,nigeria,13/9/2000,15/1/2012,pwvzt ujekdmpyohrvsla aixohauwnegfxqc,ipmhotcx npa utayibvltasy,Mother,Aunt,08096722416,07013688995,08013248857,08064791364,pwvzt@gmail.com,hmpedetsuvwciwf@yahoo.com,dzitzirbjtwk  bh ocff5cbxf xm gh1lmsaqgrcknnjmargopwzkpl llk3pypdl zunwqheiwsukqv aqbqne2tov,uzoyaotileckqivhxglwyvtyfiukpzbpxk af24nismr n1tccgkwlvd l,,0,,,,
